,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
0,70,278,71,325,76,373,84,421,98,467,125,509,166,541,209,568,256,576,303,571,344,547,382,518,410,479,425,432,433,383,438,333,438,282,108,266,127,245,160,236,193,238,226,249,283,250,316,239,351,239,382,249,403,271,254,287,253,320,253,353,252,387,221,403,236,411,253,417,271,412,286,405,145,288,164,277,187,278,210,292,187,298,163,298,300,292,322,277,347,276,367,288,348,299,323,299,188,463,210,455,231,453,253,460,275,456,299,460,324,468,300,489,276,495,253,496,230,493,209,484,199,464,231,463,253,466,275,465,312,468,275,471,253,472,230,468
1,100,312,102,352,107,392,114,432,126,471,148,503,179,525,211,543,247,548,282,544,318,527,353,507,379,476,398,440,407,402,413,364,417,324,123,282,143,261,172,258,203,263,231,274,281,274,312,264,344,263,373,271,393,291,255,303,253,327,252,350,250,374,217,400,233,404,249,407,266,405,283,402,156,306,174,299,194,299,215,309,194,314,173,315,297,311,318,303,338,306,355,313,338,320,317,318,191,455,214,447,234,442,249,446,265,443,285,448,308,454,285,462,265,465,248,466,232,465,213,462,200,454,234,451,249,453,265,451,299,453,265,451,248,452,233,450
2,101,347,103,396,106,443,110,491,123,534,149,573,178,608,213,639,256,648,302,641,340,612,374,580,403,544,419,501,427,454,435,409,441,360,128,315,146,289,177,278,210,280,241,293,297,294,329,282,362,280,393,293,411,318,267,328,265,357,263,385,262,415,229,445,244,449,260,452,277,449,292,445,161,337,180,326,204,325,225,340,203,345,179,346,308,340,331,326,355,327,373,340,355,347,330,345,194,516,218,507,243,498,259,503,277,498,301,505,325,514,301,533,278,543,259,546,240,544,217,536,206,518,242,519,259,520,277,518,312,516,277,518,259,521,242,519
3,85,303,88,350,92,395,97,440,112,484,136,523,173,554,214,577,261,585,307,578,347,552,382,521,405,484,420,442,427,398,433,355,437,310,113,292,136,269,171,263,207,267,243,277,293,275,327,265,362,260,396,268,416,292,265,306,264,334,264,361,264,390,231,410,247,416,263,420,279,415,294,409,152,315,171,303,195,302,216,316,194,322,170,324,310,317,333,304,356,304,374,316,356,325,333,323,203,471,228,460,250,451,265,454,281,449,302,455,323,466,303,479,283,486,266,488,250,488,229,483,214,470,250,468,265,469,282,466,313,466,282,465,266,468,251,466
4,86,268,88,319,91,369,98,417,113,462,142,503,175,538,211,569,257,578,303,571,340,542,372,510,396,470,410,427,419,380,426,334,431,287,119,256,139,232,173,226,206,233,239,246,297,249,332,240,365,236,397,244,413,270,267,285,266,322,265,359,265,396,228,406,244,414,263,420,280,415,295,408,158,281,175,270,198,271,217,287,197,291,174,291,310,292,330,277,353,278,370,290,354,298,331,297,202,458,222,448,244,445,260,450,276,446,299,453,319,461,300,483,278,493,260,494,243,491,221,478,213,459,243,462,259,465,276,464,308,463,277,465,260,466,244,464
5,61,287,65,336,74,383,86,428,99,476,120,521,150,561,188,590,235,599,285,589,330,560,369,523,397,478,410,427,414,375,416,322,415,271,78,267,97,247,127,242,158,248,190,256,247,254,281,243,315,232,351,233,378,253,218,285,217,320,216,354,216,390,184,409,200,416,221,422,242,414,263,406,112,295,129,286,150,285,172,295,150,299,129,300,276,290,296,280,318,278,338,285,319,291,297,292,163,472,182,463,206,458,225,462,243,456,274,459,306,465,277,490,249,502,229,505,208,502,185,492,174,474,206,477,226,479,245,476,294,467,247,477,228,480,208,478
6,50,320,53,374,57,430,66,484,83,534,111,578,147,617,188,643,240,649,289,642,334,617,374,584,405,541,425,490,433,436,437,384,441,328,85,285,100,249,137,232,179,233,220,247,277,248,318,236,361,236,400,256,415,295,247,289,245,324,244,358,243,393,207,419,224,427,243,433,261,427,279,420,128,302,148,287,174,286,197,302,173,309,147,310,296,304,321,289,347,290,366,305,347,313,320,311,171,493,196,479,223,474,242,477,262,474,287,479,309,492,288,514,262,520,241,523,220,522,194,516,183,494,222,486,242,488,261,486,298,493,262,499,241,501,221,499
7,62,307,66,352,72,399,81,445,97,487,121,524,153,553,188,582,231,589,277,582,317,555,355,526,385,488,400,443,408,392,414,344,416,297,68,293,85,262,121,254,159,261,198,273,233,275,276,259,319,249,364,256,389,288,216,297,214,325,212,354,211,384,187,408,202,413,219,416,237,411,256,406,112,305,129,292,155,291,178,307,154,313,129,314,271,305,293,289,318,287,338,300,321,310,294,310,160,467,183,460,207,457,226,462,245,456,273,457,302,460,275,479,248,486,229,488,209,487,185,482,172,468,207,468,226,470,246,467,290,462,247,465,228,468,209,466
8,47,335,48,382,55,428,66,475,84,520,109,563,141,601,177,631,222,639,270,633,307,606,338,570,362,527,379,482,389,435,398,389,400,341,71,297,90,268,126,256,165,260,202,274,253,273,292,260,330,258,365,270,380,300,227,306,226,338,225,369,224,402,186,423,205,431,225,438,245,432,262,425,111,312,130,295,156,294,179,314,156,317,130,318,271,316,296,297,322,297,341,314,323,322,296,320,144,482,171,472,202,471,222,476,243,473,272,478,297,490,272,515,242,522,220,523,198,520,168,510,155,483,201,484,222,487,243,485,285,491,242,500,221,501,199,498
9,132,308,133,348,139,385,147,421,157,456,173,486,196,510,225,527,259,530,295,528,330,515,360,494,381,465,393,430,398,390,403,350,406,308,146,281,158,257,183,245,212,246,238,254,281,255,310,244,341,242,369,253,384,278,259,289,259,317,258,343,257,371,231,388,244,395,258,399,273,395,286,389,178,297,192,288,211,287,228,299,211,302,192,304,298,299,316,287,335,287,348,296,335,303,315,302,217,439,230,428,245,423,259,428,273,424,290,430,308,439,290,446,273,448,259,450,244,448,230,445,225,437,245,434,259,436,273,434,299,438,273,435,259,436,244,434
